frame_number,timestamp,predicted_emotion,confidence,happy,sad,angry,neutral
0,0.0,sad,0.4015928641199107,0.23326548468944455,0.4015928641199107,0.1021268734773371,0.26301477771330767
1,0.033,angry,0.42877429030957764,0.418096105230573,0.03278234139631074,0.42877429030957764,0.1203472630635387
2,0.066,angry,0.3463571133712778,0.023332989373649936,0.3403504071384118,0.3463571133712778,0.2899594901166605
3,0.099,angry,0.4481861813709226,0.19952805069164697,0.06397716875212663,0.4481861813709226,0.2883085991853038
4,0.132,neutral,0.582552617794199,0.07818332572026652,0.31723318271217116,0.022030873773363248,0.582552617794199
5,0.165,sad,0.3779187311287266,0.14761435893911878,0.3779187311287266,0.1778075351372475,0.29665937479490717
6,0.198,angry,0.3915485211049045,0.22077866667837767,0.07464999609941027,0.3915485211049045,0.3130228161173076
7,0.231,happy,0.28010458837840085,0.28010458837840085,0.26678608732008546,0.17825941046564905,0.27484991383586455
8,0.264,neutral,0.4966625172135061,0.13509625346186918,0.29919541025097696,0.06904581907364775,0.4966625172135061
9,0.29700000000000004,angry,0.44905435090095885,0.21060616432103235,0.14703143273377783,0.44905435090095885,0.1933080520442309
